museum_id,name,url,location,city,latitude,longitude,image_url,image_alt,page
14536,The Great Guild Hall,https://muuseumikaart.ee/en/museums/the-great-guild-hall/,"Pikk 17, Tallinn",Tallinn,59.4384381,24.744955,https://muuseumikaart.ee/wp-content/uploads/fly-images/16337/Eriliste-asjade-ekspo_huge-290x150-c.png,Eriliste asjade ekspo_huge,8
15044,Juhan Kuus Documentary Photo Centre,https://muuseumikaart.ee/en/museums/juhan-kuusi-dokfoto-keskus/,"Telliskivi 60a-5, Tallinn",Tallinn,59.4382573,24.7292705,https://muuseumikaart.ee/wp-content/uploads/fly-images/15428/Juhan-Kuusi-dokfoto-keskus-Sisevaade_1_autor_Peeter_Langovits-scaled-290x150-c.jpg,Juhan Kuusi dokfoto keskus Sisevaade_1_autor_Peeter_Langovits,4
15570,Palmse Manor,https://muuseumikaart.ee/en/museums/palmse-manor-2/,"Palmse, Lääne-Viru County",Palmse,59.51441899999999,25.9446553,https://muuseumikaart.ee/wp-content/uploads/fly-images/15653/Kaspar_Pokk_Palmse_2-1-scaled-290x150-c.jpg,Kaspar_Pokk_Palmse_2,7
19116,Ants Laikmaa Museum,https://muuseumikaart.ee/en/museums/ants-laikmaa-museum/,"Kadarpiku, Lääne-Nigula vald, Läänemaa",Kadarpiku,58.9601757,23.7172558,https://muuseumikaart.ee/wp-content/uploads/fly-images/19195/Ants-Laikmaa-muuseum_Hele-Lepik-scaled-290x150-c.jpeg,Ants Laikmaa muuseum_Hele Lepik,2
19325,Haapsalu Town Hall,https://muuseumikaart.ee/en/museums/haapsalu-town-hall-2/,"Kooli 2, Haapsalu",Haapsalu,58.9487513,23.5407257,https://muuseumikaart.ee/wp-content/uploads/fly-images/19227/Raekoda_Britta-Sool-scaled-290x150-c.jpg,Britta Sool,4
19341,Kiek in de Kök Fortification Museum,https://muuseumikaart.ee/en/museums/kiek-in-de-kok-museum-and-bastion-tunnels-2/,"Komandandi tee 2, Tallinn",Tallinn,59.434689,24.741153,https://muuseumikaart.ee/wp-content/uploads/fly-images/19252/KOK-vaade-scaled-290x150-c.jpg,KÖK vaade,5
19479,Mati Unt Museum,https://muuseumikaart.ee/en/museums/mati-unt-museum/,"Koidula 17, Tallinn",Tallinn,59.43696079999999,24.7535746,https://muuseumikaart.ee/wp-content/uploads/fly-images/34689/Unt-ekspo-38-scaled-290x150-c.jpg,Raido Pedak,6
19483,Tammsaare’s Apartment-Museum in Tallinn,https://muuseumikaart.ee/en/museums/tammsaares-apartment-museum-in-tallinn/,"Koidula 12a, Tallinn",Tallinn,59.43696079999999,24.7535746,https://muuseumikaart.ee/wp-content/uploads/fly-images/21867/20190418_094202-1-290x150-c.jpg,20190418_094202,8
19487,Eduard Vilde Museum,https://muuseumikaart.ee/en/museums/eduard-vilde-museum/,"Roheline aas 3, Tallinn",Tallinn,59.4364783,24.7853353,https://muuseumikaart.ee/wp-content/uploads/fly-images/21612/Autor_-Gabriela-Liivamagi-scaled-290x150-c.jpg,Autor_ Gabriela Liivamägi,3
19491,MOMU Motorsports Museum(temporarily closed),https://muuseumikaart.ee/en/museums/momu-motorsports-museum/,"Tööstuse 3, Turba",Turba,59.0783491,24.2415787,https://muuseumikaart.ee/wp-content/uploads/fly-images/21109/MOMU_5_autor_Karli_Saul-scaled-290x150-c.jpg,MOMU_5_autor_Karli_Saul,6
